Epoch,Train Acc,Val Acc,Train Loss,Val Loss,F1 Score,accuracy,macro avg_f1,weighted avg_f1,happy_f1,neutral_f1,sad_f1,surprise_f1,fear_f1,disgust_f1,calm_f1,angry_f1,happy_precision,neutral_precision,sad_precision,surprise_precision,fear_precision,disgust_precision,calm_precision,angry_precision,happy_recall,neutral_recall,sad_recall,surprise_recall,fear_recall,disgust_recall,calm_recall,angry_recall,happy_support,neutral_support,sad_support,surprise_support,fear_support,disgust_support,calm_support,angry_support
51,65.54,56.46,1.5828,1.669,0.561,56.46,0.5553,0.561,0.5225,0.5976,0.5731,0.6794,0.4797,0.459,0.4192,0.712,0.5936,0.5509,0.5647,0.6036,0.5192,0.5516,0.2685,0.6801,0.4667,0.6529,0.5818,0.7769,0.4459,0.3931,0.9561,0.7472,1155,1020,1155,390,1155,1155,114,1155
52,65.75,56.45,1.5813,1.6669,0.5609,56.45,0.5538,0.5609,0.5305,0.5961,0.5763,0.6985,0.4679,0.4599,0.3923,0.7093,0.541,0.5856,0.541,0.6278,0.5553,0.5884,0.2451,0.6729,0.5203,0.6069,0.6165,0.7872,0.4043,0.3775,0.9825,0.7498,1155,1020,1155,390,1155,1155,114,1155
53,65.86,56.5,1.5794,1.6675,0.5599,56.5,0.5512,0.5599,0.5242,0.5967,0.5811,0.6717,0.4666,0.4592,0.3956,0.7146,0.5791,0.5406,0.5456,0.5816,0.6086,0.5538,0.2494,0.6833,0.4788,0.6657,0.6216,0.7949,0.3784,0.3922,0.9561,0.7489,1155,1020,1155,390,1155,1155,114,1155
54,66.18,56.19,1.5765,1.6668,0.557,56.19,0.5517,0.557,0.512,0.594,0.5707,0.7055,0.4784,0.4496,0.3958,0.7075,0.589,0.5191,0.5717,0.6461,0.515,0.6182,0.2478,0.6649,0.4528,0.6941,0.5697,0.7769,0.4468,0.3532,0.9825,0.7558,1155,1020,1155,390,1155,1155,114,1155
55,66.28,56.14,1.5747,1.6682,0.5584,56.14,0.5515,0.5584,0.5223,0.5942,0.5686,0.6681,0.4715,0.463,0.4121,0.7124,0.577,0.5785,0.541,0.5789,0.507,0.5703,0.2627,0.6859,0.4771,0.6108,0.5991,0.7897,0.4407,0.3896,0.9561,0.7411,1155,1020,1155,390,1155,1155,114,1155
56,66.54,56.34,1.5746,1.6678,0.5591,56.34,0.5527,0.5591,0.5222,0.5935,0.5738,0.6822,0.4759,0.4591,0.4076,0.7074,0.5805,0.56,0.5535,0.602,0.5234,0.5774,0.2603,0.6641,0.4745,0.6314,0.5957,0.7872,0.4364,0.381,0.9386,0.7567,1155,1020,1155,390,1155,1155,114,1155
57,66.73,56.5,1.5731,1.6657,0.5607,56.5,0.5548,0.5607,0.5281,0.5864,0.5796,0.7059,0.4717,0.4556,0.3986,0.7124,0.5763,0.5329,0.5106,0.6415,0.582,0.62,0.25,0.7064,0.4874,0.652,0.6701,0.7846,0.3965,0.3602,0.9825,0.7186,1155,1020,1155,390,1155,1155,114,1155
58,66.81,56.45,1.5714,1.6656,0.5586,56.45,0.5515,0.5586,0.5186,0.6017,0.5819,0.6844,0.4721,0.4508,0.3978,0.7048,0.5877,0.5509,0.545,0.6023,0.5434,0.6122,0.2506,0.6596,0.4641,0.6627,0.6242,0.7923,0.4173,0.3567,0.9649,0.7567,1155,1020,1155,390,1155,1155,114,1155
59,66.98,56.67,1.5697,1.6654,0.5629,56.67,0.5576,0.5629,0.523,0.5934,0.5731,0.7163,0.488,0.4524,0.3986,0.7158,0.6172,0.5144,0.5507,0.6742,0.5233,0.6082,0.2511,0.6929,0.4537,0.701,0.5974,0.7641,0.4571,0.3602,0.9649,0.7403,1155,1020,1155,390,1155,1155,114,1155
60,67.17,56.75,1.5681,1.6648,0.5617,56.75,0.5567,0.5617,0.5257,0.599,0.5833,0.7183,0.4685,0.4539,0.3972,0.7078,0.5976,0.5465,0.5222,0.6623,0.5725,0.6084,0.2489,0.6695,0.4693,0.6627,0.6606,0.7846,0.3965,0.3619,0.9825,0.7506,1155,1020,1155,390,1155,1155,114,1155
61,67.4,56.31,1.5665,1.6659,0.5594,56.31,0.5523,0.5594,0.5373,0.5816,0.5721,0.7013,0.4736,0.4409,0.3895,0.7221,0.5543,0.5384,0.5202,0.6373,0.5444,0.6413,0.2434,0.7154,0.5212,0.6324,0.6355,0.7795,0.419,0.3359,0.9737,0.729,1155,1020,1155,390,1155,1155,114,1155
62,67.32,56.79,1.5653,1.6627,0.5655,56.79,0.5608,0.5655,0.5377,0.5952,0.5729,0.7167,0.4804,0.4627,0.4088,0.7121,0.5514,0.5448,0.5659,0.6689,0.5292,0.5954,0.2581,0.6959,0.5247,0.6559,0.5801,0.7718,0.4398,0.3784,0.9825,0.729,1155,1020,1155,390,1155,1155,114,1155
63,67.84,57.16,1.5628,1.6628,0.5652,57.16,0.5604,0.5652,0.5412,0.6025,0.5826,0.719,0.4737,0.4475,0.4051,0.7117,0.5776,0.54,0.5254,0.6616,0.594,0.6439,0.2551,0.6787,0.5091,0.6814,0.6537,0.7872,0.3939,0.3429,0.9825,0.7481,1155,1020,1155,390,1155,1155,114,1155
64,67.99,56.88,1.5621,1.6633,0.5651,56.88,0.5574,0.5651,0.5347,0.5942,0.5844,0.7104,0.468,0.4649,0.3868,0.716,0.592,0.5372,0.5295,0.6637,0.6089,0.5689,0.2413,0.6926,0.4874,0.6647,0.6519,0.7641,0.3801,0.3931,0.9737,0.7411,1155,1020,1155,390,1155,1155,114,1155
65,68.1,56.75,1.5603,1.6649,0.5651,56.75,0.5605,0.5651,0.5391,0.595,0.5776,0.7112,0.4719,0.4643,0.4128,0.7121,0.5467,0.5988,0.5426,0.6652,0.5238,0.5707,0.2625,0.6853,0.5316,0.5912,0.6173,0.7641,0.4294,0.3913,0.9649,0.7411,1155,1020,1155,390,1155,1155,114,1155
66,68.31,56.82,1.5593,1.6629,0.564,56.82,0.5591,0.564,0.5348,0.5917,0.5811,0.7008,0.4767,0.4633,0.4159,0.7083,0.5407,0.5755,0.5634,0.6189,0.5356,0.6064,0.2651,0.6698,0.529,0.6088,0.6,0.8077,0.4294,0.3749,0.9649,0.7515,1155,1020,1155,390,1155,1155,114,1155
